Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,2008,Females,70-74,373
Actual,Melanoma of the skin,2009,Females,70-74,405
Actual,Melanoma of the skin,2010,Females,70-74,376
Actual,Melanoma of the skin,2011,Females,70-74,472
Actual,Melanoma of the skin,2012,Females,70-74,431
Actual,Melanoma of the skin,2013,Females,70-74,471
Actual,Melanoma of the skin,2014,Females,70-74,521
Actual,Melanoma of the skin,2015,Females,70-74,546
Actual,Melanoma of the skin,2016,Females,70-74,621
Actual,Melanoma of the skin,2017,Females,70-74,740
Actual,Melanoma of the skin,2018,Females,70-74,709
Actual,Melanoma of the skin,2019,Females,70-74,760
Actual,Melanoma of the skin,2020,Females,70-74,802
Projections,Melanoma of the skin,2021,Females,70-74,906
Projections,Melanoma of the skin,2022,Females,70-74,934
Projections,Melanoma of the skin,2023,Females,70-74,970
Projections,Melanoma of the skin,2024,Females,70-74,"1,013"
Actual,Melanoma of the skin,1982,Persons,70-74,257
Actual,Melanoma of the skin,1983,Persons,70-74,288
Actual,Melanoma of the skin,1984,Persons,70-74,329
Actual,Melanoma of the skin,1985,Persons,70-74,370
Actual,Melanoma of the skin,1986,Persons,70-74,387
Actual,Melanoma of the skin,1987,Persons,70-74,458
Actual,Melanoma of the skin,1988,Persons,70-74,494
Actual,Melanoma of the skin,1989,Persons,70-74,478
Actual,Melanoma of the skin,1990,Persons,70-74,559
Actual,Melanoma of the skin,1991,Persons,70-74,532
Actual,Melanoma of the skin,1992,Persons,70-74,586
Actual,Melanoma of the skin,1993,Persons,70-74,704
Actual,Melanoma of the skin,1994,Persons,70-74,683
Actual,Melanoma of the skin,1995,Persons,70-74,741
Actual,Melanoma of the skin,1996,Persons,70-74,814
Actual,Melanoma of the skin,1997,Persons,70-74,912
Actual,Melanoma of the skin,1998,Persons,70-74,779
Actual,Melanoma of the skin,1999,Persons,70-74,881
Actual,Melanoma of the skin,2000,Persons,70-74,948
Actual,Melanoma of the skin,2001,Persons,70-74,937
Actual,Melanoma of the skin,2002,Persons,70-74,"1,064"
Actual,Melanoma of the skin,2003,Persons,70-74,961
Actual,Melanoma of the skin,2004,Persons,70-74,910
Actual,Melanoma of the skin,2005,Persons,70-74,"1,026"
Actual,Melanoma of the skin,2006,Persons,70-74,"1,042"
Actual,Melanoma of the skin,2007,Persons,70-74,"1,025"
Actual,Melanoma of the skin,2008,Persons,70-74,"1,035"
Actual,Melanoma of the skin,2009,Persons,70-74,"1,198"
Actual,Melanoma of the skin,2010,Persons,70-74,"1,187"
Actual,Melanoma of the skin,2011,Persons,70-74,"1,290"
Actual,Melanoma of the skin,2012,Persons,70-74,"1,331"
Actual,Melanoma of the skin,2013,Persons,70-74,"1,419"
Actual,Melanoma of the skin,2014,Persons,70-74,"1,447"
Actual,Melanoma of the skin,2015,Persons,70-74,"1,667"
Actual,Melanoma of the skin,2016,Persons,70-74,"1,763"
Actual,Melanoma of the skin,2017,Persons,70-74,"2,030"
Actual,Melanoma of the skin,2018,Persons,70-74,"1,996"
Actual,Melanoma of the skin,2019,Persons,70-74,"2,188"
Actual,Melanoma of the skin,2020,Persons,70-74,"2,107"
Projections,Melanoma of the skin,2021,Persons,70-74,"2,481"
Projections,Melanoma of the skin,2022,Persons,70-74,"2,524"
Projections,Melanoma of the skin,2023,Persons,70-74,"2,594"
Projections,Melanoma of the skin,2024,Persons,70-74,"2,689"
Actual,Melanoma of the skin,1982,Males,75-79,82
Actual,Melanoma of the skin,1983,Males,75-79,108
Actual,Melanoma of the skin,1984,Males,75-79,120
Actual,Melanoma of the skin,1985,Males,75-79,125
Actual,Melanoma of the skin,1986,Males,75-79,149
Actual,Melanoma of the skin,1987,Males,75-79,169
Actual,Melanoma of the skin,1988,Males,75-79,203
Actual,Melanoma of the skin,1989,Males,75-79,223
Actual,Melanoma of the skin,1990,Males,75-79,235
Actual,Melanoma of the skin,1991,Males,75-79,252
Actual,Melanoma of the skin,1992,Males,75-79,304
Actual,Melanoma of the skin,1993,Males,75-79,342
Actual,Melanoma of the skin,1994,Males,75-79,323
Actual,Melanoma of the skin,1995,Males,75-79,330
Actual,Melanoma of the skin,1996,Males,75-79,405
Actual,Melanoma of the skin,1997,Males,75-79,427
Actual,Melanoma of the skin,1998,Males,75-79,460
Actual,Melanoma of the skin,1999,Males,75-79,474
Actual,Melanoma of the skin,2000,Males,75-79,490
Actual,Melanoma of the skin,2001,Males,75-79,565
Actual,Melanoma of the skin,2002,Males,75-79,559
Actual,Melanoma of the skin,2003,Males,75-79,652
Actual,Melanoma of the skin,2004,Males,75-79,616
Actual,Melanoma of the skin,2005,Males,75-79,690
Actual,Melanoma of the skin,2006,Males,75-79,725
Actual,Melanoma of the skin,2007,Males,75-79,644
Actual,Melanoma of the skin,2008,Males,75-79,689
Actual,Melanoma of the skin,2009,Males,75-79,712
Actual,Melanoma of the skin,2010,Males,75-79,733
Actual,Melanoma of the skin,2011,Males,75-79,649
Actual,Melanoma of the skin,2012,Males,75-79,739
Actual,Melanoma of the skin,2013,Males,75-79,818
Actual,Melanoma of the skin,2014,Males,75-79,864
Actual,Melanoma of the skin,2015,Males,75-79,920
Actual,Melanoma of the skin,2016,Males,75-79,934
Actual,Melanoma of the skin,2017,Males,75-79,"1,009"
Actual,Melanoma of the skin,2018,Males,75-79,"1,052"
Actual,Melanoma of the skin,2019,Males,75-79,"1,114"
Actual,Melanoma of the skin,2020,Males,75-79,"1,142"
Projections,Melanoma of the skin,2021,Males,75-79,"1,296"
