Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,1975,Persons,All ages combined,424
Actual,Melanoma of the skin,1976,Males,15-19,3
Actual,Melanoma of the skin,1976,Females,15-19,2
Actual,Melanoma of the skin,1976,Persons,15-19,5
Actual,Melanoma of the skin,1976,Males,20-24,7
Actual,Melanoma of the skin,1976,Females,20-24,5
Actual,Melanoma of the skin,1976,Persons,20-24,12
Actual,Melanoma of the skin,1976,Males,25-29,16
Actual,Melanoma of the skin,1976,Females,25-29,9
Actual,Melanoma of the skin,1976,Persons,25-29,25
Actual,Melanoma of the skin,1976,Males,30-34,16
Actual,Melanoma of the skin,1976,Females,30-34,10
Actual,Melanoma of the skin,1976,Persons,30-34,26
Actual,Melanoma of the skin,1976,Males,35-39,14
Actual,Melanoma of the skin,1976,Females,35-39,12
Actual,Melanoma of the skin,1976,Persons,35-39,26
Actual,Melanoma of the skin,1976,Males,40-44,21
Actual,Melanoma of the skin,1976,Females,40-44,8
Actual,Melanoma of the skin,1976,Persons,40-44,29
Actual,Melanoma of the skin,1976,Males,45-49,24
Actual,Melanoma of the skin,1976,Females,45-49,14
Actual,Melanoma of the skin,1976,Persons,45-49,38
Actual,Melanoma of the skin,1976,Males,50-54,26
Actual,Melanoma of the skin,1976,Females,50-54,13
Actual,Melanoma of the skin,1976,Persons,50-54,39
Actual,Melanoma of the skin,1976,Males,55-59,25
Actual,Melanoma of the skin,1976,Females,55-59,16
Actual,Melanoma of the skin,1976,Persons,55-59,41
Actual,Melanoma of the skin,1976,Males,60-64,38
Actual,Melanoma of the skin,1976,Females,60-64,21
Actual,Melanoma of the skin,1976,Persons,60-64,59
Actual,Melanoma of the skin,1976,Males,65-69,27
Actual,Melanoma of the skin,1976,Females,65-69,20
Actual,Melanoma of the skin,1976,Persons,65-69,47
Actual,Melanoma of the skin,1976,Males,70-74,17
Actual,Melanoma of the skin,1976,Females,70-74,13
Actual,Melanoma of the skin,1976,Persons,70-74,30
Actual,Melanoma of the skin,1976,Males,75-79,15
Actual,Melanoma of the skin,1976,Females,75-79,8
Actual,Melanoma of the skin,1976,Persons,75-79,23
Actual,Melanoma of the skin,1976,Males,80-84,8
Actual,Melanoma of the skin,1976,Females,80-84,13
Actual,Melanoma of the skin,1976,Persons,80-84,21
Actual,Melanoma of the skin,1976,Males,85-89,3
Actual,Melanoma of the skin,1976,Females,85-89,7
Actual,Melanoma of the skin,1976,Persons,85-89,10
Actual,Melanoma of the skin,1976,Females,90+,6
Actual,Melanoma of the skin,1976,Persons,90+,6
Actual,Melanoma of the skin,1976,Males,All ages combined,260
Actual,Melanoma of the skin,1976,Females,All ages combined,177
Actual,Melanoma of the skin,1976,Persons,All ages combined,437
Actual,Melanoma of the skin,1977,Males,15-19,3
Actual,Melanoma of the skin,1977,Females,15-19,2
Actual,Melanoma of the skin,1977,Persons,15-19,5
Actual,Melanoma of the skin,1977,Males,20-24,4
Actual,Melanoma of the skin,1977,Females,20-24,3
Actual,Melanoma of the skin,1977,Persons,20-24,7
Actual,Melanoma of the skin,1977,Males,25-29,12
Actual,Melanoma of the skin,1977,Females,25-29,5
Actual,Melanoma of the skin,1977,Persons,25-29,17
Actual,Melanoma of the skin,1977,Males,30-34,16
Actual,Melanoma of the skin,1977,Females,30-34,10
Actual,Melanoma of the skin,1977,Persons,30-34,26
Actual,Melanoma of the skin,1977,Males,35-39,20
Actual,Melanoma of the skin,1977,Females,35-39,10
Actual,Melanoma of the skin,1977,Persons,35-39,30
Actual,Melanoma of the skin,1977,Males,40-44,17
Actual,Melanoma of the skin,1977,Females,40-44,10
Actual,Melanoma of the skin,1977,Persons,40-44,27
Actual,Melanoma of the skin,1977,Males,45-49,28
Actual,Melanoma of the skin,1977,Females,45-49,17
Actual,Melanoma of the skin,1977,Persons,45-49,45
Actual,Melanoma of the skin,1977,Males,50-54,30
Actual,Melanoma of the skin,1977,Females,50-54,19
Actual,Melanoma of the skin,1977,Persons,50-54,49
Actual,Melanoma of the skin,1977,Males,55-59,34
Actual,Melanoma of the skin,1977,Females,55-59,26
Actual,Melanoma of the skin,1977,Persons,55-59,60
Actual,Melanoma of the skin,1977,Males,60-64,40
Actual,Melanoma of the skin,1977,Females,60-64,19
Actual,Melanoma of the skin,1977,Persons,60-64,59
Actual,Melanoma of the skin,1977,Males,65-69,36
Actual,Melanoma of the skin,1977,Females,65-69,23
Actual,Melanoma of the skin,1977,Persons,65-69,59
Actual,Melanoma of the skin,1977,Males,70-74,28
Actual,Melanoma of the skin,1977,Females,70-74,19
Actual,Melanoma of the skin,1977,Persons,70-74,47
Actual,Melanoma of the skin,1977,Males,75-79,20
Actual,Melanoma of the skin,1977,Females,75-79,18
Actual,Melanoma of the skin,1977,Persons,75-79,38
Actual,Melanoma of the skin,1977,Males,80-84,13
Actual,Melanoma of the skin,1977,Females,80-84,15
Actual,Melanoma of the skin,1977,Persons,80-84,28
Actual,Melanoma of the skin,1977,Males,85-89,6
Actual,Melanoma of the skin,1977,Females,85-89,1
Actual,Melanoma of the skin,1977,Persons,85-89,7
Actual,Melanoma of the skin,1977,Males,90+,3
Actual,Melanoma of the skin,1977,Females,90+,2
Actual,Melanoma of the skin,1977,Persons,90+,5
